Unique.Specimen.Identifier,Family1,Order1,Sequence,Specimen.number,Source,Sex,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Microptilotis mimikae_1916.5.30.612,Meliphagidae,PASSERIFORMES,6115,1916.5.30.612,NHMUK,M,22.7,NA,3,4,NA,83,NA,NA,NA,72.5,1,NF,0,0,0
Microptilotis mimikae_1916.5.30.612,Meliphagidae,PASSERIFORMES,6115,1916.5.30.612,NHMUK,M,23.2,11,3.3,4.1,21.3,86,10.6,75.4,12.3,73,2,PC,1,0,0
Microptilotis orientalis_1913.3.6.206,Meliphagidae,PASSERIFORMES,6112,1913.3.6.206,NHMUK,M,21.9,NA,2.7,3.1,NA,77,NA,NA,NA,80.5,1,NF,0,0,0
Microptilotis orientalis_1913.3.6.206,Meliphagidae,PASSERIFORMES,6112,1913.3.6.206,NHMUK,M,22.6,10.7,2.8,3.3,20.9,75,14.4,60.6,19.2,66,2,PC,1,0,0
Microptilotis orientalis_1913.3.6.207,Meliphagidae,PASSERIFORMES,6112,1913.3.6.207,NHMUK,F,20.7,NA,2.6,3.1,NA,71,NA,NA,NA,59.5,1,NF,0,0,0
Microptilotis orientalis_1913.3.6.207,Meliphagidae,PASSERIFORMES,6112,1913.3.6.207,NHMUK,F,20.5,9.7,2.7,3,19.7,69,14.2,54.8,20.6,65,2,PC,1,0,0
Microptilotis orientalis_1913.3.6.208,Meliphagidae,PASSERIFORMES,6112,1913.3.6.208,NHMUK,F,21,NA,2.9,3.5,20.4,72,NA,NA,NA,60,1,GT,0,0,0
Microptilotis orientalis_1913.3.6.208,Meliphagidae,PASSERIFORMES,6112,1913.3.6.208,NHMUK,F,20.2,10.8,2.9,3.4,20.5,71,12.7,58.3,17.9,62,2,PC,1,0,0
Microptilotis orientalis_1913.3.6.208,Meliphagidae,PASSERIFORMES,6112,1913.3.6.208,NHMUK,F,20.9,NA,2.8,3.4,NA,72,NA,NA,NA,64.5,3,NF,0,0,0
Microptilotis reticulatus_73.5.12.1040,Meliphagidae,PASSERIFORMES,6121,73.5.12.1040,NHMUK,M,21.7,NA,2.9,3.9,NA,74,NA,NA,NA,74.5,1,NF,0,0,0
Microptilotis reticulatus_73.5.12.1040,Meliphagidae,PASSERIFORMES,6121,73.5.12.1040,NHMUK,M,22.2,10.3,3.2,3.9,23,81,12.4,68.6,15.3,70,2,PC,1,0,0
Microptilotis reticulatus_73.5.12.996,Meliphagidae,PASSERIFORMES,6121,73.5.12.996,NHMUK,M,22.2,NA,3,4.5,NA,80,NA,NA,NA,75.5,1,NF,0,0,0
Microptilotis reticulatus_73.5.12.996,Meliphagidae,PASSERIFORMES,6121,73.5.12.996,NHMUK,M,24.7,11.5,3,4.5,24.1,78,11.6,66.4,14.9,81,2,PC,1,0,0
Microptilotis reticulatus_73.5.12.997,Meliphagidae,PASSERIFORMES,6121,73.5.12.997,NHMUK,M,21,NA,2.8,4.1,NA,75,NA,NA,NA,68.5,1,NF,0,0,0
Microptilotis reticulatus_73.5.12.997,Meliphagidae,PASSERIFORMES,6121,73.5.12.997,NHMUK,M,22.4,8.6,2.8,4,21.6,75,11.1,63.9,14.8,67,2,PC,1,0,0
Micropygia schomburgkii_89.11.20.182,Rallidae,GRUIFORMES,1750,89.11.20.182,NHMUK,M,13.7,NA,3.1,4.3,19.6,80,NA,NA,NA,36,1,GT,0,0,0
Micropygia schomburgkii_89.11.20.182,Rallidae,GRUIFORMES,1750,89.11.20.182,NHMUK,M,13.1,6.8,2,4.2,20.7,76,19.8,56.2,26.1,35,2,NJT,1,0,0
Microspingus cabanisi_1885.2.10.324,Thraupidae,PASSERIFORMES,10966,1885.2.10.324,NHMUK,M,13.8,NA,3.9,5.6,21.7,64,NA,NA,NA,71,1,GT,0,0,0
Microspingus cabanisi_1885.2.10.324,Thraupidae,PASSERIFORMES,10966,1885.2.10.324,NHMUK,M,14.1,8.2,4.2,5.6,21.8,63,10.5,52.5,16.7,61,2,HM,1,0,0
Microspingus cinereus_89.1.10.422,Thraupidae,PASSERIFORMES,10973,89.1.10.422,NHMUK,M,12.5,NA,3.7,4.9,18.7,64,NA,NA,NA,57,1,GT,0,0,0
Microspingus cinereus_89.1.10.422,Thraupidae,PASSERIFORMES,10973,89.1.10.422,NHMUK,M,12.2,7.2,3.4,4.9,18.4,62,10.6,51.4,17.1,47,2,CS,1,0,0
Microspingus erythrophrys_1905.1.30.136,Thraupidae,PASSERIFORMES,10967,1905.1.30.136,NHMUK,F,12.4,NA,3.7,4.8,18.2,64,NA,NA,NA,63,1,GT,0,0,0
Microspingus erythrophrys_1905.1.30.136,Thraupidae,PASSERIFORMES,10967,1905.1.30.136,NHMUK,F,14.2,7,3.7,4.5,21.7,62.5,8.2,54.3,13.1,62,2,HM,1,0,0
Microspingus lateralis_1855.12.19395,Thraupidae,PASSERIFORMES,10965,1855.12.19395,NHMUK,U,14.4,NA,3.7,5.9,19.2,74,NA,NA,NA,84,1,GT,0,0,0
Microspingus lateralis_1855.12.19395,Thraupidae,PASSERIFORMES,10965,1855.12.19395,NHMUK,U,14.8,9.1,5.8,4.1,24.8,66,9.9,56.1,15,75,2,TB/HM,1,0,0
Microspingus melanoleucus_1932.10.28.16,Thraupidae,PASSERIFORMES,10972,1932.10.28.16,NHMUK,M,10.8,NA,3.4,4.7,18.2,59,NA,NA,NA,58,1,GT,0,0,0
Microspingus melanoleucus_1932.10.28.16,Thraupidae,PASSERIFORMES,10972,1932.10.28.16,NHMUK,M,13.1,6.6,3.4,4.6,17.8,59,8,51,13.6,56,2,HM,1,0,0
Mimus graysoni_97.11.10.9,Mimidae,PASSERIFORMES,8830,97.11.10.9,NHMUK,F,22.7,NA,5.7,6.3,32.4,105,NA,NA,NA,123,1,GT,0,0,0
Mimus graysoni_97.11.10.9,Mimidae,PASSERIFORMES,8830,97.11.10.9,NHMUK,F,23.8,12.9,5.3,6.4,32.8,100.5,16.9,83.6,16.8,122,2,CS,1,0,0
Mimus gundlachii_1906.12.7.1268,Mimidae,PASSERIFORMES,8831,1906.12.7.1268,NHMUK,F,22.8,NA,4.7,4.7,37.3,103,NA,NA,NA,110,1,GT,0,0,0
Mimus gundlachii_1906.12.7.1268,Mimidae,PASSERIFORMES,8831,1906.12.7.1268,NHMUK,F,23.4,14.3,4.4,5.6,38.2,105,22.1,82.9,21,108,2,NS,1,0,0
Mimus trifasciatus_99.9.1.4,Mimidae,PASSERIFORMES,8832,99.9.1.4,NHMUK,M,34.2,NA,5.5,5.7,39.6,122,NA,NA,NA,122,1,GT,0,0,0
Mimus trifasciatus_99.9.1.4,Mimidae,PASSERIFORMES,8832,99.9.1.4,NHMUK,M,31.3,19.9,4.9,5.4,40,120,28.5,91.5,23.8,98,2,NS,1,0,0
Mirafra angolensis_1931.12.21.874,Alaudidae,PASSERIFORMES,7297,1931.12.21.874,NHMUK,M,22.3,NA,4.9,5.8,26.6,84,NA,NA,NA,48,1,GT,0,0,0
Mirafra angolensis_1931.12.21.874,Alaudidae,PASSERIFORMES,7297,1931.12.21.874,NHMUK,M,20,12.5,4.4,5.5,25.8,80,15.5,64.5,19.4,48,2,CV,1,0,0
Mirafra apiata_1905.12.29.1431,Alaudidae,PASSERIFORMES,7289,1905.12.29.1431,NHMUK,M,17.3,NA,4.3,5.3,23.3,80,NA,NA,NA,60,1,GT,0,0,0
Mirafra apiata_1905.12.29.1431,Alaudidae,PASSERIFORMES,7289,1905.12.29.1431,NHMUK,M,16.3,9.5,3.9,5.3,23.1,79,13.3,65.7,16.8,59,2,CV,1,0,0
Mirafra collaris_1908.5.28.112,Alaudidae,PASSERIFORMES,7291,1908.5.28.112,NHMUK,M,16.6,NA,4.7,5.6,24.4,85,NA,NA,NA,59,1,GT,0,0,0
Mirafra collaris_1908.5.28.112,Alaudidae,PASSERIFORMES,7291,1908.5.28.112,NHMUK,M,15.9,9.8,4.5,5.4,23.5,85,16.1,68.9,18.9,59,2,CV,1,0,0
Mirafra erythroptera_1935.11.18.32,Alaudidae,PASSERIFORMES,7309,1935.11.18.32,NHMUK,M,14.8,NA,4.7,5.5,19.5,78,NA,NA,NA,53,1,GT,0,0,0
Mirafra erythroptera_1935.11.18.32,Alaudidae,PASSERIFORMES,7309,1935.11.18.32,NHMUK,M,13.5,8.8,4.5,5.2,18.6,78,15,63,19.2,54,2,CV,1,0,0
Mirafra microptera_88.9.20.1100,Alaudidae,PASSERIFORMES,7306,88.9.20.1100,NHMUK,M,16.5,NA,4.7,NA,21.6,73,NA,NA,NA,55,1,GT,0,0,0
Mirafra microptera_88.9.20.1100,Alaudidae,PASSERIFORMES,7306,88.9.20.1100,NHMUK,F,16.5,10,5.1,NA,22.5,69,9.6,59.4,13.9,53,2,DS,1,0,0
Mirafra rufocinnamomea_1927.11.5.675,Alaudidae,PASSERIFORMES,7298,1927.11.5.675,NHMUK,M,16.3,NA,4.7,5.7,25.4,86,NA,NA,NA,65,1,GT,0,0,0
Mirafra rufocinnamomea_1927.11.5.675,Alaudidae,PASSERIFORMES,7298,1927.11.5.675,NHMUK,M,15,8.9,4.4,5.3,22.6,86,11.7,74.3,13.6,63,2,CV,1,0,0
Mirafra williamsi_1956.31.1,Alaudidae,PASSERIFORMES,7299,1956.31.1,NHMUK,M,15,NA,6.3,7,22.8,84,NA,NA,NA,58,1,GT,0,0,0
Mirafra williamsi_1956.31.1,Alaudidae,PASSERIFORMES,7299,1956.31.1,NHMUK,M,14.4,9.9,6.4,6.8,22.9,84,14.8,69.2,17.6,58,2,CV,1,0,0
Mitrospingus oleagineus_1957.1.5,Mitrospingidae,PASSERIFORMES,10697,1957.1.5,NHMUK,M,20,NA,5.6,7.5,25.7,94,NA,NA,NA,87,1,GT,0,0,0
Mitrospingus oleagineus_1957.1.5,Mitrospingidae,PASSERIFORMES,10697,1957.1.5,NHMUK,M,22.2,12.2,5.6,7.4,25,93,13.4,79.6,14.4,87.5,2,HM,1,0,0
Mitu salvini_1950.64.60,Cracidae,GALLIFORMES,137,1950.64.60,NHMUK,M,55.1,NA,14.8,31.7,124.7,405,NA,NA,NA,369,1,GT,0,0,0
Mitu salvini_1950.64.60,Cracidae,GALLIFORMES,137,1950.64.60,NHMUK,U,56.9,34.2,14.3,31.5,109.1,394,18.4,375.6,4.7,332,2,TB,1,0,0
Mitu tuberosum_1902.3.13.1849,Cracidae,GALLIFORMES,136,1902.3.13.1849,NHMUK,M,47.7,NA,NA,30.1,106.3,381,25,356,6.6,329,1,TT,0,0,0
Mitu tuberosum_1902.3.13.1849,Cracidae,GALLIFORMES,136,1902.3.13.1849,NHMUK,M,60.9,NA,16,34.9,131.7,400,NA,NA,NA,350,3,GT,0,0,0
Mitu tuberosum_89.6.1.178,Cracidae,GALLIFORMES,136,89.6.1.178,NHMUK,M,59.1,36.9,20.9,48.4,105.3,359,42.8,316.2,11.9,316,1,DS,1,0,0
Mitu tuberosum_89.6.1.178,Cracidae,GALLIFORMES,136,89.6.1.178,NHMUK,M,47.7,NA,NA,36.5,108.2,377,39,338,10.3,304,2,TT,0,0,0
Mixornis flavicollis_1927.4.18.878,Timaliidae,PASSERIFORMES,8303,1927.4.18.878,NHMUK,M,14.9,NA,3.5,3.7,17.1,58,NA,NA,NA,45,1,GT,0,0,0
Mixornis flavicollis_1927.4.18.878,Timaliidae,PASSERIFORMES,8303,1927.4.18.878,NHMUK,M,13.8,8.4,3.3,3.7,16.1,58,6.1,51.9,10.5,49,2,CV,1,0,0
Mixornis kelleyi_1932.5.14.124,Timaliidae,PASSERIFORMES,8305,1932.5.14.124,NHMUK,M,15.2,NA,3.4,3.9,17.6,59,NA,NA,NA,49,1,GT,0,0,0
Mixornis kelleyi_1932.5.14.124,Timaliidae,PASSERIFORMES,8305,1932.5.14.124,NHMUK,M,14.5,8.6,3,3.5,17,58,4.9,53.1,8.4,60,2,CV,1,0,0
Mohoua albicilla_52.1.17.76,Mohouidae,PASSERIFORMES,6239,52.1.17.76,NHMUK,M,13.1,NA,3.2,4.4,25,77,NA,NA,NA,68,1,GT,0,0,0
Mohoua albicilla_52.1.17.76,Mohouidae,PASSERIFORMES,6239,52.1.17.76,NHMUK,M,12.8,7.1,3,4.7,25,75,14.8,60.2,19.7,67.5,2,CS,1,0,0
Mohoua ochrocephala_49.12.12.34,Mohouidae,PASSERIFORMES,6240,49.12.12.34,NHMUK,M,15.6,NA,4.1,5.1,27.8,87,NA,NA,NA,75,1,GT,0,0,0
Mohoua ochrocephala_49.12.12.34,Mohouidae,PASSERIFORMES,6240,49.12.12.34,NHMUK,M,15.4,8.7,3.9,5.4,31.7,83,16.7,66.3,20.1,78,2,CS,1,0,0
Monachella muelleriana_1911.12.20.1147,Petroicidae,PASSERIFORMES,7143,1911.12.20.1147,NHMUK,M,15,NA,5.3,3.6,17.4,89,NA,NA,NA,57,1,GT,0,0,0
Monachella muelleriana_1911.12.20.1147,Petroicidae,PASSERIFORMES,7143,1911.12.20.1147,NHMUK,M,13.5,8.1,4.7,3.7,15.5,91,23.5,67.5,25.8,56,2,CV,1,0,0
Monarcha castaneiventris_1905.11.25.12,Monarchidae,PASSERIFORMES,6849,1905.11.25.12,NHMUK,M,19,13.2,6.2,5.8,18,88,16.1,71.9,18.3,72,1,CV,1,0,0
Monarcha castaneiventris_1905.11.25.12,Monarchidae,PASSERIFORMES,6849,1905.11.25.12,NHMUK,M,22.8,NA,7.1,6.1,21.5,87,15,72,17.2,69,2,CR,0,0,0
Monarcha melanopsis_1969.41.1476,Monarchidae,PASSERIFORMES,6854,1969.41.1476,NHMUK,M,21,NA,6.5,6.5,NA,92,NA,NA,NA,72,1,BM,0,0,0
Monarcha melanopsis_1969.41.1476,Monarchidae,PASSERIFORMES,6854,1969.41.1476,NHMUK,M,18.2,12.1,6.3,5.7,17.4,90,21.6,68.4,24,76,2,CV,1,0,0
Monarcha richardsii_1909.2.18.35,Monarchidae,PASSERIFORMES,6852,1909.2.18.35,NHMUK,M,18.1,11.6,5.5,4.9,17.4,78,14.7,63.3,18.8,64,1,CV,1,0,0
Monarcha richardsii_1909.2.18.35,Monarchidae,PASSERIFORMES,6852,1909.2.18.35,NHMUK,M,20.3,NA,6.5,5,19.1,77,13,64,16.9,60,2,CR,0,0,0
Monias benschi_1931.8.18.1742,Mesitornithidae,MESITORNITHIFORMES,585,1931.8.18.1742,NHMUK,F,36.9,NA,4.1,5.5,38.9,130,NA,NA,NA,127,1,GT,0,0,0
Monias benschi_1931.8.18.1742,Mesitornithidae,MESITORNITHIFORMES,585,1931.8.18.1742,NHMUK,F,38,21.4,3.9,5.2,36.7,128,15.1,112.9,11.8,128,2,MNC,1,0,0
Monias benschi_1939.12.9.590,Mesitornithidae,MESITORNITHIFORMES,585,1939.12.9.590,NHMUK,F,36.6,NA,4.6,5.5,36.1,126,NA,NA,NA,145,1,GT,0,0,0
Monias benschi_1939.12.9.590,Mesitornithidae,MESITORNITHIFORMES,585,1939.12.9.590,NHMUK,F,38.2,20.9,4.5,5.3,35.3,120,10.9,109.1,9.1,123,2,MNC,1,0,0
Monticola cinclorhyncha_1949.25.1615,Muscicapidae,PASSERIFORMES,9296,1949.25.1615,NHMUK,F,20.1,12,4.7,5.2,24.6,91,22.3,68.7,24.5,65,1,CS,1,0,0
Monticola cinclorhyncha_1949.25.1615,Muscicapidae,PASSERIFORMES,9296,1949.25.1615,NHMUK,F,21.8,NA,NA,6.1,23.5,95.9,26.7,69.2,27.8,64,2,APH2,0,0,0
Monticola gularis_1928.6.26.1165,Muscicapidae,PASSERIFORMES,9298,1928.6.26.1165,NHMUK,M,20.3,10.9,4.3,5.6,23.4,98,27.7,70.3,28.3,71,1,CS,1,0,0
Monticola gularis_1928.6.26.1165,Muscicapidae,PASSERIFORMES,9298,1928.6.26.1165,NHMUK,M,19.1,NA,NA,6.8,23.4,99,31.1,67.9,31.4,64.6,2,APH2,0,0,0
Monticola gularis_1965.M.12387,Muscicapidae,PASSERIFORMES,9298,1965.M.12387,NHMUK,M,20.1,11.8,4.5,6,24.1,99,30.6,68.4,30.9,65,1,CS,1,0,0
Monticola gularis_1965.M.12387,Muscicapidae,PASSERIFORMES,9298,1965.M.12387,NHMUK,M,20,NA,NA,6.8,23.7,100.9,32.5,68.4,32.2,64.5,2,APH2,0,0,0
Monticola imerina_1931.8.18.2454,Muscicapidae,PASSERIFORMES,9301,1931.8.18.2454,NHMUK,M,22,NA,NA,6.2,26.6,84.5,15,69.5,17.8,68.4,1,APH2,0,0,0
Monticola imerina_1931.8.18.2454,Muscicapidae,PASSERIFORMES,9301,1931.8.18.2454,NHMUK,M,22.9,NA,4.2,5.2,27.2,83,NA,NA,NA,70,2,GT,0,0,0
Monticola imerina_1931.8.18.2454,Muscicapidae,PASSERIFORMES,9301,1931.8.18.2454,NHMUK,M,22.4,12.7,3.8,5,26.5,83,13.8,69.2,16.6,72,3,CS,1,0,0
Monticola imerina_1931.8.18.2458,Muscicapidae,PASSERIFORMES,9301,1931.8.18.2458,NHMUK,F,21.8,13.2,4.2,5,26.3,79,12.4,66.6,15.7,67,1,CS,1,0,0
Monticola imerina_1931.8.18.2458,Muscicapidae,PASSERIFORMES,9301,1931.8.18.2458,NHMUK,F,21.1,NA,NA,6,25.8,80.1,14.5,65.6,18.1,63.8,2,APH2,0,0,0
Monticola imerina_1931.8.18.2459,Muscicapidae,PASSERIFORMES,9301,1931.8.18.2459,NHMUK,F,20.2,12.5,4.5,4.8,24.8,74,12.6,61.4,17,61,1,CS,1,0,0
Monticola imerina_1931.8.18.2459,Muscicapidae,PASSERIFORMES,9301,1931.8.18.2459,NHMUK,F,21.2,NA,NA,6,25.1,75.6,14.4,61.2,19,59,2,APH2,0,0,0
Monticola rupestris_1965.M.12329,Muscicapidae,PASSERIFORMES,9309,1965.M.12329,NHMUK,F,24.5,15.9,5.1,6.1,30.2,109,22.8,86.2,20.9,79,1,CS,1,0,0
Monticola rupestris_1965.M.12329,Muscicapidae,PASSERIFORMES,9309,1965.M.12329,NHMUK,F,23.7,NA,NA,6.5,28.2,113.7,26.4,87.3,23.2,83.1,2,APH2,0,0,0
Monticola sharpei_1926.8.11.2,Muscicapidae,PASSERIFORMES,9303,1926.8.11.2,NHMUK,F,18.4,10.4,4.4,4.2,23.5,68,13.8,54.2,20.3,59,1,CS,1,0,0
Monticola sharpei_1926.8.11.2,Muscicapidae,PASSERIFORMES,9303,1926.8.11.2,NHMUK,F,18.6,NA,NA,5.5,23.5,71.9,13.5,58.4,18.8,54.1,2,APH2,0,0,0
Monticola sharpei_1931.8.18.2472,Muscicapidae,PASSERIFORMES,9303,1931.8.18.2472,NHMUK,F,17.6,10,4,4.6,25.3,70,6.9,63.1,9.9,58,1,CS,1,0,0
Monticola sharpei_1931.8.18.2472,Muscicapidae,PASSERIFORMES,9303,1931.8.18.2472,NHMUK,F,19.6,NA,NA,5.4,25.3,75.9,10.8,65.1,14.2,52.6,2,APH2,0,0,0
Monticola sharpei_1931.8.18.2486,Muscicapidae,PASSERIFORMES,9303,1931.8.18.2486,NHMUK,M,17.7,10,4.3,4.9,26,74,12.8,61.2,17.3,54,1,CS,1,0,0
Monticola sharpei_1931.8.18.2486,Muscicapidae,PASSERIFORMES,9303,1931.8.18.2486,NHMUK,M,18.5,NA,NA,6.1,25.8,77.2,12.8,64.4,16.6,50.9,2,APH2,0,0,0
Morococcyx erythropygus_97.4.1.73,Cuculidae,CUCULIFORMES,1578,97.4.1.73,NHMUK,M,27.2,NA,5.8,7.7,36.1,95,NA,NA,NA,133,1,GT,0,0,0
Morococcyx erythropygus_97.4.1.73,Cuculidae,CUCULIFORMES,1578,97.4.1.73,NHMUK,M,26.4,15.6,5.9,7.4,36.5,97,8,89,8.2,125,2,NJT,1,0,0
Morococcyx erythropygus_97.4.1.75,Cuculidae,CUCULIFORMES,1578,97.4.1.75,NHMUK,F,25,NA,5.9,6.7,33,85,NA,NA,NA,138,1,GT,0,0,0
Morococcyx erythropygus_97.4.1.75,Cuculidae,CUCULIFORMES,1578,97.4.1.75,NHMUK,F,24.7,14.1,5.6,6.5,33.1,94,9,85,9.6,125,2,NJT,1,0,0
Morphnarchus princeps_87.5.1.608,Accipitridae,ACCIPITRIFORMES,3174,87.5.1.608,NHMUK,M,42.6,NA,15.6,20.5,95.2,358,NA,NA,NA,187,1,GT,0,0,0
Morphnarchus princeps_87.5.1.608,Accipitridae,ACCIPITRIFORMES,3174,87.5.1.608,NHMUK,M,42.3,28.3,14.3,20.2,88.7,353,115,238,32.6,174,2,NJT,1,0,0
Morus capensis_1906.12.21.73,Sulidae,SULIFORMES,2279,1906.12.21.73,NHMUK,M,109.4,NA,22.8,28.5,58.9,456,NA,NA,NA,160,1,GT,0,0,0
Morus capensis_1906.12.21.73,Sulidae,SULIFORMES,2279,1906.12.21.73,NHMUK,M,94.2,94.2,24,29.1,61,456,273,183,59.9,165,2,MNC,1,0,0
Morus capensis_1906.12.21.74,Sulidae,SULIFORMES,2279,1906.12.21.74,NHMUK,F,101.5,NA,22.5,28.4,57.3,466,NA,NA,NA,210,1,GT,0,0,0
Morus capensis_1906.12.21.74,Sulidae,SULIFORMES,2279,1906.12.21.74,NHMUK,F,93.5,93.5,22.3,28.8,60.2,445,268,177,60.2,175,2,MNC,1,0,0
Morus serrator_1977.9.25,Sulidae,SULIFORMES,2280,1977.9.25,NHMUK,F,97.5,NA,22.1,30.7,52.2,NA,NA,NA,NA,197,1,GT,0,0,0
Morus serrator_1977.9.25,Sulidae,SULIFORMES,2280,1977.9.25,NHMUK,F,91.5,91.5,25.1,30.4,54.2,457,297,160,65,195,2,MNC,1,0,0
Morus serrator_52.1.17.14,Sulidae,SULIFORMES,2280,52.1.17.14,NHMUK,M,91.2,NA,23.8,28.8,56.2,NA,NA,NA,NA,213,1,GT,0,0,0
Morus serrator_52.1.17.14,Sulidae,SULIFORMES,2280,52.1.17.14,NHMUK,M,85.2,85.2,23,27.9,53.2,459,278,181,60.6,212,2,MNC,1,0,0
Motacilla samveasnae_2001.8.5,Motacillidae,PASSERIFORMES,10014,2001.8.5,NHMUK,M,18.6,NA,3.4,3.5,22.1,84,NA,NA,NA,80,1,GT,0,0,0
Motacilla samveasnae_2001.8.5,Motacillidae,PASSERIFORMES,10014,2001.8.5,NHMUK,M,17.5,11.1,3.6,3.6,22.1,83,21.8,61.2,26.3,81,2,CS,1,0,0
Mulleripicus fulvus_88.11.1.445,Picidae,PICIFORMES,3904,88.11.1.445,NHMUK,M,44.8,NA,11.7,11.2,28.3,186,NA,NA,NA,168,1,GT,0,0,0
Mulleripicus fulvus_88.11.1.445,Picidae,PICIFORMES,3904,88.11.1.445,NHMUK,M,43.8,31.7,11.8,10.8,32.2,187,31.3,155.7,16.7,177.8,2,SEIJ,1,0,0
Muscisaxicola albifrons_1888.1.13.170,Tyrannidae,PASSERIFORMES,5833,1888.1.13.170,NHMUK,F,23.8,13.2,4.5,4.5,36.2,156,57.1,98.9,36.6,89,1,HM,1,0,0
Muscisaxicola albifrons_1888.1.13.170,Tyrannidae,PASSERIFORMES,5833,1888.1.13.170,NHMUK,F,23,NA,NA,7.6,35.9,158.5,56.6,101.9,35.7,95.7,2,APH2,0,0,0
Muscisaxicola albilora_1888.1.1.245,Tyrannidae,PASSERIFORMES,5838,1888.1.1.245,NHMUK,F,19.4,NA,NA,6,30.7,110,35.7,74.3,32.5,67.9,1,APH2,0,0,0
Muscisaxicola albilora_1888.1.1.245,Tyrannidae,PASSERIFORMES,5838,1888.1.1.245,NHMUK,F,19.2,11,4,4,30.6,108,35.6,72.4,33,65,2,HM,1,0,0
Muscisaxicola albilora_1888.1.13.194,Tyrannidae,PASSERIFORMES,5838,1888.1.13.194,NHMUK,F,18.6,11.5,4.1,3.5,29.5,114.5,39.3,75.2,34.3,72,1,HM,1,0,0
Muscisaxicola albilora_1888.1.13.194,Tyrannidae,PASSERIFORMES,5838,1888.1.13.194,NHMUK,F,20,NA,NA,4.9,29.7,116,38.2,77.8,32.9,74.1,2,APH2,0,0,0
Muscisaxicola albilora_1896.10.6.443,Tyrannidae,PASSERIFORMES,5838,1896.10.6.443,NHMUK,M,19.2,11,3.8,4,30,117,37.8,79.2,32.3,73,1,HM,1,0,0
Muscisaxicola albilora_1896.10.6.443,Tyrannidae,PASSERIFORMES,5838,1896.10.6.443,NHMUK,M,20.1,NA,NA,5.6,30.6,119.3,41,78.3,34.4,74.9,2,APH2,0,0,0
Muscisaxicola alpinus_1925.12.24.439,Tyrannidae,PASSERIFORMES,5839,1925.12.24.439,NHMUK,F,17.5,9.8,4,3.6,33.3,122.5,35.1,87.4,28.7,81,1,HM,1,0,0
Muscisaxicola alpinus_1925.12.24.439,Tyrannidae,PASSERIFORMES,5839,1925.12.24.439,NHMUK,F,18.3,NA,NA,4.3,32.8,123.1,32.1,91,26.1,83,2,APH2,0,0,0
Muscisaxicola alpinus_1938.12.20.31,Tyrannidae,PASSERIFORMES,5839,1938.12.20.31,NHMUK,F,17.1,10.1,3.7,3.8,27.8,123,36.1,86.9,29.3,75,1,HM,1,0,0
Muscisaxicola alpinus_1938.12.20.31,Tyrannidae,PASSERIFORMES,5839,1938.12.20.31,NHMUK,F,19.2,NA,NA,4.8,28.8,124.3,35.1,89.2,28.2,79.6,2,APH2,0,0,0
Muscisaxicola cinereus_1888.1.13.180,Tyrannidae,PASSERIFORMES,5832,1888.1.13.180,NHMUK,F,17.9,10.1,3.3,3.4,29.1,99.5,29.4,70.1,29.5,61,1,HM,1,0,0
Muscisaxicola cinereus_1888.1.13.180,Tyrannidae,PASSERIFORMES,5832,1888.1.13.180,NHMUK,F,17.9,NA,NA,5.5,28.3,100.7,27.9,72.8,27.7,62.9,2,APH2,0,0,0
Muscisaxicola cinereus_1899.1.27.52,Tyrannidae,PASSERIFORMES,5832,1899.1.27.52,NHMUK,M,17.3,9.8,3.5,3.3,29.4,111,35.2,75.8,31.7,70,1,HM,1,0,0
Muscisaxicola cinereus_1899.1.27.52,Tyrannidae,PASSERIFORMES,5832,1899.1.27.52,NHMUK,M,17.7,NA,NA,4.6,28.3,112.8,34.5,78.3,30.6,73.2,2,APH2,0,0,0
Muscisaxicola cinereus_1902.3.13.655,Tyrannidae,PASSERIFORMES,5832,1902.3.13.655,NHMUK,M,16.2,9.1,2.8,3.4,28.4,111,33.7,77.3,30.4,72,1,HM,1,0,0
Muscisaxicola cinereus_1902.3.13.655,Tyrannidae,PASSERIFORMES,5832,1902.3.13.655,NHMUK,M,16.8,NA,NA,5.1,28.5,113.1,32.9,80.2,29.1,73.8,2,APH2,0,0,0
Muscisaxicola fluviatilis_1888.1.1.258,Tyrannidae,PASSERIFORMES,5828,1888.1.1.258,NHMUK,F,15.6,NA,NA,4.6,17.8,69.8,12.4,57.4,17.8,53.2,1,APH2,0,0,0
Muscisaxicola fluviatilis_1888.1.1.258,Tyrannidae,PASSERIFORMES,5828,1888.1.1.258,NHMUK,F,15.7,9.1,4.9,3.5,17.1,65,12.1,52.9,18.6,54,2,TB/HM,1,0,0
Muscisaxicola fluviatilis_1888.1.1.260,Tyrannidae,PASSERIFORMES,5828,1888.1.1.260,NHMUK,M,15,NA,NA,4.3,19.8,80.2,18.9,61.3,23.6,55.2,1,APH2,0,0,0
Muscisaxicola fluviatilis_1888.1.1.260,Tyrannidae,PASSERIFORMES,5828,1888.1.1.260,NHMUK,M,16.3,9.7,3.7,3.4,18.1,77,15.1,61.9,19.6,51,2,TB/HM,1,0,0
