,familyIDS,Number_of_species_per_family,Average_number_of_specimens_per_family,Average_number_of_complete_specimens_per_family,Portion_of_family_with_at_least_one_full_specimen,Portion_of_complete_specimens_per_family,Portion_of_family_with_at_least_four_specimens,Portion_of_family_with_at_least_four_full_traits_measured_per_species,Portion_of_family_with_at_least_four_main_traits_measured_per_species
138,Eurylaimidae,12,5.8,3,83.3,52.4,66.7,50,58.3
139,Musophagidae,24,6.9,4.3,100,68.6,95.8,91.7,95.8
140,Tinamidae,47,6.4,3.9,95.7,65.7,89.4,83,85.1
141,Glareolidae,17,4.6,3.9,100,84.7,94.1,94.1,94.1
142,Timaliidae,54,4.9,4,92.6,78.6,87,81.5,87
143,Vireonidae,65,14.8,4,92.3,32.9,90.8,83.1,87.7
144,Neosittidae,3,9,4,100,67.4,100,100,100
145,Dasyornithidae,3,9.7,3.3,100,35.2,100,33.3,66.7
146,Dicaeidae,55,7.7,3.8,83.6,68.7,80,78.2,80
147,Dicruridae,26,11.8,5.9,96.2,49.9,92.3,88.5,92.3
148,Diomedeidae,22,3.9,3,95.5,79.8,68.2,54.5,68.2
149,Donacobiidae,1,7,4,100,57.1,100,100,100
150,Dromadidae,1,6,4,100,66.7,100,100,100
151,Dulidae,1,5,4,100,80,100,100,100
152,Elachuridae,1,5,4,100,80,100,100,100
153,Emberizidae,44,8.4,4.6,95.5,65.3,90.9,86.4,88.6
154,Pittidae,48,4.9,3.2,87.5,66.5,77.1,70.8,70.8
155,Eulacestomidae,1,4,4,100,100,100,100,100
156,Eupetidae,1,8,4,100,50,100,100,100
157,Eurypygidae,1,6,4,100,66.7,100,100,100
158,Falcunculidae,3,4.3,1.3,33.3,10.3,33.3,33.3,33.3
159,Fregatidae,5,5,4,100,83.4,100,100,100
160,Oceanitidae,9,4,3.2,88.9,73.3,77.8,77.8,77.8
161,Pellorneidae,64,9.4,3.9,93.8,72,82.8,81.2,82.8
162,Pomatostomidae,5,9.6,4.6,100,51.1,100,100,100
163,Gaviidae,5,5,4,100,81.3,100,100,100
164,Grallariidae,55,19.5,3.2,92.7,41.7,78.2,58.2,58.2
165,Phalacrocoracidae,34,5.3,4.2,100,82.7,97.1,91.2,94.1
166,Haematopodidae,10,7,4.3,100,75.2,90,90,90
167,Heliornithidae,3,5.7,4,100,76.7,100,100,100
168,Hemiprocnidae,4,5.5,4,100,77.5,100,100,100
169,Hydrobatidae,18,3.9,3.1,83.3,68.6,72.2,66.7,66.7
170,Hyliotidae,4,4,3.5,100,90,75,75,75
171,Hylocitreidae,2,2,2,50,50,50,50,50
172,Hypocoliidae,1,5,4,100,80,100,100,100
173,Ibidorhynchidae,1,8,4,100,50,100,100,100
174,Ifritidae,1,5,4,100,80,100,100,100
175,Indicatoridae,16,5.8,4.3,100,79,93.8,93.8,93.8
176,Tityridae,49,9.1,3.9,87.8,56.7,89.8,83.7,87.8
177,Irenidae,3,8.3,7.3,66.7,58.9,66.7,66.7,66.7
178,Mitrospingidae,4,5.8,4,100,74.2,100,100,100
179,Leptosomidae,1,15,10,100,66.7,100,100,100
180,Machaerirhynchidae,2,7.5,4,100,55.6,100,100,100
181,Melampittidae,2,3.5,2.5,100,80,50,50,50
182,Melanocharitidae,11,3.9,3.5,90.9,81.8,81.8,81.8,81.8
183,Melanopareiidae,4,6.8,3.8,100,59.3,100,75,75
184,Menuridae,2,10.5,4,100,38.2,100,100,100
185,Meropidae,31,5.3,3.9,100,79.1,96.8,96.8,96.8
186,Mesitornithidae,3,4,3,100,85.7,66.7,66.7,66.7
187,Polioptilidae,15,7.9,3.9,93.3,74.8,80,80,80
188,Phaenicophilidae,4,4.2,4,100,95,100,100,100
189,Mohouidae,3,4.3,4,100,93.3,100,100,100
190,Sulidae,10,4.9,3.9,100,80.8,100,90,90
191,Philepittidae,4,6.5,3.5,100,62.9,75,75,75
192,Nesospingidae,1,2,2,100,100,0,0,0
193,Strigopidae,3,5.7,4,100,74.6,100,100,100
194,Nicatoridae,3,8,4.3,100,71.1,100,100,100
195,Notiomystidae,1,5,4,100,80,100,100,100
196,Nyctibiidae,7,5.9,4,100,75.9,100,100,100
197,Rostratulidae,3,7.7,4,100,52.4,100,100,100
198,Opisthocomidae,1,6,4,100,66.7,100,100,100
199,Paramythiidae,3,5.7,5.3,100,96.3,100,100,100
200,Oriolidae,38,12.2,3.7,94.7,36.2,89.5,78.9,89.5
201,Orthonychidae,3,9,4.3,100,58.4,100,100,100
202,Turnicidae,18,4.4,3.6,88.9,78,77.8,77.8,77.8
203,Pandionidae,1,12,8,100,66.7,100,100,100
204,Panuridae,1,13,4,100,30.8,100,100,100
205,Pardalotidae,4,17.2,4,100,25.3,100,100,100
206,Pedionomidae,1,5,3,100,60,100,0,100
207,Pelecanidae,8,5,4,100,80.8,100,100,100
208,Peucedramidae,1,6,4,100,66.7,100,100,100
209,Phaethontidae,3,5.7,4,100,76.7,100,100,100
210,Ptiliogonatidae,4,31.5,4,100,65.9,100,100,100
211,Tytonidae,16,4.3,3.6,93.8,85.3,68.8,62.5,62.5
212,Phoenicopteridae,6,5.3,4.7,100,88.1,100,100,100
213,Phoeniculidae,8,6,4.8,100,80.6,100,100,100
214,Phylloscopidae,81,5.4,3.9,90.1,73.4,79,75.3,77.8
215,Picathartidae,2,6.5,3.5,100,54.8,100,50,100
216,Pityriasidae,1,6,4,100,66.7,100,100,100
217,Platylophidae,1,11,4,100,36.4,100,100,100
218,Pluvianellidae,1,7,6,100,85.7,100,100,100
219,Pluvianidae,1,7,4,100,57.1,100,100,100
220,Pnoepygidae,4,3.2,2.8,100,82.5,50,50,50
221,Promeropidae,2,5.5,4,100,73.3,100,100,100
222,Prunellidae,12,7.6,4.8,100,77.2,100,100,100
223,Psophiidae,6,4.8,2.8,100,60,100,50,100
224,Pteroclidae,16,5.3,4.2,100,80.5,100,100,100
225,Regulidae,6,10.3,5,100,70.7,100,100,100
226,Rhagologidae,1,4,4,100,100,100,100,100
227,Rheidae,3,3.7,2.7,66.7,53.3,66.7,66.7,66.7
228,Rhipiduridae,63,6.9,2.8,71.4,35.6,73,60.3,71.4
229,Rhodinocichlidae,1,6,4,100,66.7,100,100,100
230,Rhynochetidae,1,4,2,100,50,100,0,0
231,Sagittariidae,1,8,4,100,50,100,100,100
232,Sittidae,32,5.5,3.8,90.6,71.6,87.5,84.4,87.5
233,Sapayoidae,1,4,4,100,100,100,100,100
234,Scopidae,1,8,4,100,50,100,100,100
235,Semnornithidae,2,5,4,100,80,100,100,100
236,Spindalidae,4,7.2,5.8,100,77.2,100,100,100
237,Steatornithidae,1,15,8,100,53.3,100,100,100
238,Struthionidae,2,4,3,100,73.3,50,50,50
239,Teretistridae,2,5,4,100,80,100,100,100
240,Todidae,5,6.2,4.2,100,72.7,100,100,100
241,Upupidae,2,9,8,100,92.9,100,100,100
242,Urocynchramidae,1,4,4,100,100,100,100,100
243,Zeledoniidae,1,5,4,100,80,100,100,100
