"AOU" "animal" "ORDER" "Family" "Genus" "Epithet" "animal_jetz"
"80" 3200 "Columbina_passerina" "Columbiformes" "Columbidae" "Columbina" "passerina" "Columbina_passerina"
"81" 3180 "Leptotila_verreauxi" "Columbiformes" "Columbidae" "Leptotila" "verreauxi" "Leptotila_verreauxi"
"82" 3190 "Zenaida_asiatica" "Columbiformes" "Columbidae" "Zenaida" "asiatica" "Zenaida_asiatica"
"83" 3160 "Zenaida_macroura" "Columbiformes" "Columbidae" "Zenaida" "macroura" "Zenaida_macroura"
"84" 3840 "Crotophaga_sulcirostris" "Cuculiformes" "Cuculidae" "Crotophaga" "sulcirostris" "Crotophaga_sulcirostris"
"85" 3850 "Geococcyx_californianus" "Cuculiformes" "Cuculidae" "Geococcyx" "californianus" "Geococcyx_californianus"
"86" 3870 "Coccyzus_americanus" "Cuculiformes" "Cuculidae" "Coccyzus" "americanus" "Coccyzus_americanus"
"87" 3860 "Coccyzus_minor" "Cuculiformes" "Cuculidae" "Coccyzus" "minor" "Coccyzus_minor"
"88" 3880 "Coccyzus_erythropthalmus" "Cuculiformes" "Cuculidae" "Coccyzus" "erythropthalmus" "Coccyzus_erythropthalmus"
"89" 3875 "Coccyzus_americanus" "Cuculiformes" "Cuculidae" "Coccyzus" "americanus" "Coccyzus_americanus"
"90" 4210 "Chordeiles_acutipennis" "Caprimulgiformes" "Caprimulgidae" "Chordeiles" "acutipennis" "Chordeiles_acutipennis"
"91" 4200 "Chordeiles_minor" "Caprimulgiformes" "Caprimulgidae" "Chordeiles" "minor" "Chordeiles_minor"
"92" 4205 "Chordeiles_acutipennis" "Caprimulgiformes" "Caprimulgidae" "Chordeiles" "acutipennis" "Chordeiles_acutipennis"
"93" 4190 "Nyctidromus_albicollis" "Caprimulgiformes" "Caprimulgidae" "Nyctidromus" "albicollis" "Nyctidromus_albicollis"
"94" 4180 "Phalaenoptilus_nuttallii" "Caprimulgiformes" "Caprimulgidae" "Phalaenoptilus" "nuttallii" "Phalaenoptilus_nuttallii"
"95" 4160 "Antrostomus_carolinensis" "Caprimulgiformes" "Caprimulgidae" "Antrostomus" "carolinensis" "Caprimulgus_carolinensis"
"96" 4171 "Antrostomus_vociferus" "Caprimulgiformes" "Caprimulgidae" "Antrostomus" "vociferus" "Caprimulgus_vociferus"
"97" 4172 "Antrostomus_arizonae" "Caprimulgiformes" "Caprimulgidae" "Antrostomus" "arizonae" "Caprimulgus_vociferus"
"98" 4220 "Cypseloides_niger" "Apodiformes" "Apodidae" "Cypseloides" "niger" "Cypseloides_niger"
